nom_entreprise;adresse;ville;telephone;telephone_type;site_web;nom_dirigeant;confiance_dirigeant;taille_estimee;horaires_ouverture;creneaux_non_couverts;plainte_telephonique;citation_plainte_telephone;score;categorie_priorite;raison_commerciale;grappe;secteur
SARL TE2C;37 Rue du Bas Villiers, 77400 Gouvernes, France;Lagny-sur-Marne 77400;06 25 58 36 40;mobile;http://www.sarl-te2c.com/;Jérôme R.;haute (certifiée avis);TPE (probable);lundi: 07:00 – 19:00 | mardi: 07:00 – 19:00 | mercredi: 07:00 – 19:00 | jeudi: 07:00 – 19:00 | vendredi: 07:00 – 19:00 | samedi: 07:00 – 19:00 | dimanche: Fermé;Fermé dimanche;oui;Nous avons tenté de joindre le professionnel par téléphone pour le lui signaler. Il n'a jamais répondu à nos appels ni ne nous a jamais rappelés malgré les messages laissés.;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: SARL indépendante en climatisation/frigoristerie avec forte demande de réservations et interventions ; la plainte majeure sur l'injoignabilité téléphonique et l'absence de rappel révèle un besoin critique d'un standard IA 24/7 pour capturer tous les appels clients et éviter les pertes de chiffre d'affaires. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Ligne mobile → décideur joignable en direct | Décideur identifié (Jérôme R.) | Créneaux critiques (Fermé dimanche)";Artisan B2B;frigoriste, climatisation, pisciniste, paysagiste, auto-école
APBZ Presta;1 Rue Charles Cordier, 77164 Ferrières-en-Brie, France;Lagny-sur-Marne 77400;09 52 04 99 34;fixe;https://apbzpresta.com/;;;petite PME;lundi: 09:00 – 12:00, 14:00 – 18:00 | mardi: 09:00 – 12:00, 14:00 – 18:00 | mercredi: 09:00 – 12:00, 14:00 – 18:00 | jeudi: 09:00 – 12:00, 14:00 – 18:00 | vendredi: 09:00 – 12:00, 14:00 – 18:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;Et d'ailleurs le lave vaisselle coule mais ils ne répondent plus au téléphone.;90;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME indépendante de cuisiniste/meubles avec fort volume de réservations et conception de projets ; plainte client explicite sur injoignabilité téléphonique et service après-vente défaillant ; Qalm AI capturerait les appels 24/7, qualifierait les demandes et éviterait les pertes commerciales. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | PME structurée (20-49) → budget solvable | Créneaux critiques (Fermé week-end)";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
Alexence Diffusion;84 Av. des 2 Châteaux, 77600 Guermantes, France;Lagny-sur-Marne 77400;01 64 30 42 24;fixe;https://alexencediffusion.espacevo.fr/;Marc-Antoine;haute (certifiée avis);petite PME (probable);lundi: 08:30 – 12:00, 14:00 – 18:30 | mardi: 08:30 – 12:00, 14:00 – 18:30 | mercredi: 08:30 – 12:00, 14:00 – 18:30 | jeudi: 08:30 – 12:00, 14:00 – 18:30 | vendredi: 08:30 – 12:00, 14:00 – 18:30 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;Problème centralisation ford transit et contrôle technique.;89;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Garage indépendant multi-services (concessionnaire Ford, carrosserie, contrôle technique) avec forte demande de réservations et gestion d'appels ; la plainte client sur la centralisation des appels révèle un besoin urgent de standard IA pour qualifier et router les demandes 24/7. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Décideur identifié (Marc-Antoine) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé week-end)";Auto atelier;garage auto, carrosserie, contrôle technique, concessionnaire
Chaise-Expert;69 Rue de Paris, 77183 Croissy-Beaubourg, France;Lagny-sur-Marne 77400;01 60 37 68 65;fixe;https://www.cylex-locale.fr/entreprises/chaise-expert-13274337.html;Adrian Dubai (dubai);officielle;TPE/solo (indéterminé);lundi: 10:00 – 17:00 | mardi: 10:00 – 17:00 | mercredi: 10:00 – 17:00 | jeudi: 10:00 – 17:00 | vendredi: 10:00 – 17:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;depuis plus d'un mois persone ne repond à mes mails et centaines d'appels et messages sur le repondeur;89;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: PME indépendante de vente de meubles/électroménager avec gestion critique des appels clients ; plaintes explicites sur injoignabilité téléphonique et absence de suivi client justifient un standard IA 24/7 pour capturer les appels, gérer les réclamations et qualifier les demandes de livraison. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Décideur identifié (Adrian Dubai (dubai)) | Créneaux critiques (Fermé week-end)";Habitat showroom;cuisiniste, magasin literie, électroménager, magasin meubles
Romain Merlet – Traiteur Artisan Événement – 77;16 Av. Graham Bell, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;07 81 95 82 04;mobile;https://www.romainmerlet-traiteur.fr/;Romain Merlet;haute (certifiée avis);TPE (probable);lundi: 08:00 – 22:00 | mardi: 08:00 – 22:00 | mercredi: 08:00 – 22:00 | jeudi: 08:00 – 22:00 | vendredi: 08:00 – 22:00 | samedi: 08:00 – 22:00 | dimanche: 08:00 – 22:00;Horaires continus / larges;oui;Prise de contact en janvier assez compliquée car pas de retour malgré engagement par message.;88;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Traiteur artisan indépendant avec forte réputation (5/5 avis positifs) mais gestion défaillante des appels et relances clients ; Qalm AI automatiserait la prise de contact, les devis et le suivi des événements 24/7 pour capitaliser sur sa qualité reconnue. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Décideur identifié (Romain Merlet)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Zenstim. Studio Electrostimulation EMS, Coaching sportif, mihabodytec. Bussy-Saint-Georges;18 Bd de Lagny, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;06 26 85 83 67;mobile;http://www.zenstim.fr/;;;petite PME (probable);lundi: 09:00 – 21:00 | mardi: 09:00 – 21:00 | mercredi: 09:00 – 21:00 | jeudi: 09:00 – 21:00 | vendredi: 09:00 – 21:00 | samedi: 09:00 – 18:00 | dimanche: 09:00 – 14:00;Horaires continus / larges;oui;prise de rdv compliqués, avec appel et SMS pour prendre le rendez-vous;88;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Studio de coaching indépendant avec forte demande de réservations et gestion d'appels complexe (confirmation Wellpass, SMS, appels) ; Qalm AI automatiserait la prise de RDV 24/7 et réduirait les frictions clients identifiées dans les avis. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Volume d'avis solide (117) | Ligne mobile → décideur joignable en direct | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Bussy Gyms;Bd des Genêts, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;07 62 37 15 30;mobile;https://www.bussygyms.fr/;;;TPE;Horaires non communiqués;Horaires non communiqués;oui;Pas organisés. Pas de communication.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Club de gym indépendant avec gestion des inscriptions et réservations de créneaux ; les plaintes clients sur la communication et l'organisation justifient un standard IA pour automatiser les appels de confirmation, les listes d'attente et les relances d'adhésions (200€/an = forte sensibilité prix, mais volume potentiel d'appels récurrents). | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Ligne mobile → décideur joignable en direct | Créneaux critiques (Horaires non communiqués)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
BRASSERIE DE LA GARE;3 Pl. du Général de Gaulle, 77360 Vaires-sur-Marne, France;Lagny-sur-Marne 77400;01 60 20 24 01;fixe;https://brasserievaires.eatbu.com/;Alexis Carcassonne;officielle;petite PME;lundi: 06:30 – 20:30 | mardi: 06:30 – 20:30 | mercredi: 06:30 – 20:30 | jeudi: 06:30 – 20:30 | vendredi: 06:30 – 20:30 | samedi: 08:00 – 16:00 | dimanche: Fermé;Fermé dimanche;oui;Dommage que ce soir vous n'avez pas ouvert pour le dernier match de poule du Paris Saint-Germain comme vous fête d'habitude ! Vraiment déçu arrivé à 20h30 et de voir la brasserie fermé...;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Brasserie indépendante avec forte activité événementielle (groupes, matchs PSG, réservations) et problèmes de gestion d'appels (fermetures non communiquées, service réactif insuffisant) ; Qalm AI optimiserait les réservations 24/7 et éviterait les clients perdus par manque de joignabilité. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (357) → fort trafic d'appels | Décideur identifié (Alexis Carcassonne) | PME structurée (10-19) → budget solvable | Créneaux critiques (Fermé dimanche)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
La Villa;111 Quai de la Gourdine, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;01 64 02 37 18;fixe;https://lavilla-restaurant.fr/;Jennifer Batista;officielle;petite PME (probable);lundi: 12:00 – 23:00 | mardi: 12:00 – 23:00 | mercredi: 12:00 – 23:00 | jeudi: 12:00 – 23:00 | vendredi: 12:00 – 23:00 | samedi: 12:00 – 23:00 | dimanche: 12:00 – 23:00;Horaires continus / larges;oui;Accueil téléphonique irréprochable;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant haut de gamme avec forte activité événementielle (réceptions, baptêmes) et réservations ; gestion 24/7 des appels entrants et qualification des demandes de réservation/traiteur justifient l'automatisation téléphonique pour optimiser le service client et réduire les pics d'appels. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (2587) → fort trafic d'appels | Décideur identifié (Jennifer Batista) | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
La Cuisine du Marché;10 Rue Vacheresse, 77400 Lagny-sur-Marne, France;Lagny-sur-Marne 77400;01 64 02 87 41;fixe;https://fr.mappy.com/poi/4d6dfe2bb9eb25078c3cd1c3;Catherine Guillou (lazaar);officielle;TPE;lundi: Fermé | mardi: 08:30 – 13:00, 15:00 – 19:00 | mercredi: 08:30 – 13:00 | jeudi: 08:30 – 13:00, 15:00 – 19:00 | vendredi: 08:30 – 13:00, 15:00 – 19:00 | samedi: 08:30 – 13:00, 15:00 – 19:00 | dimanche: 08:30 – 13:00;Horaires continus / larges;oui;Je téléphone et après avoir eu 3 personnes, j'échange avec une dame;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Traiteur indépendant avec forte demande de réservations et commandes téléphoniques (petits fours, repas de fête) ; gestion chaotique des appels (3 transferts) et besoin de qualification des demandes spéciales justifient un standard IA 24/7 pour améliorer la conversion et l'expérience client. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Catherine Guillou (lazaar))";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Tout & Bon Marne-la-Vallée;20 Rue des Campanules, 77185 Lognes, France;Lagny-sur-Marne 77400;01 85 42 02 27;fixe;https://toutetbon.fr/nos-traiteurs-france/marnelavallee;;;TPE (probable);lundi: 08:00 – 18:00 | mardi: 08:00 – 18:00 | mercredi: 08:00 – 18:00 | jeudi: 08:00 – 18:00 | vendredi: 08:00 – 18:00 | samedi: Fermé | dimanche: Fermé;Fermé week-end;oui;APPAREMMENT MEMELE SERVICE CLIENT NE CHERCHE PAS A SATISFAIRE LE CLIENT, J ATTTENDS ENCORE LA REPONSE A MON AIL SUITE A LEUR DEMANDE;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Établissement multi-services (restaurant, traiteur, loisirs) avec fort volume de commandes et réservations ; plainte explicite sur la réactivité du service client téléphonique justifie un standard IA 24/7 pour gérer appels, réservations et qualification de demandes. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Créneaux critiques (Fermé week-end)";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Villa Bussy « Restaurant HongKongais »;9-13 Bd Pierre Mendès France, 77600 Bussy-Saint-Georges, France;Lagny-sur-Marne 77400;01 60 54 06 34;fixe;http://villabussy.fr/;;;petite PME (probable);lundi: 12:00 – 14:30, 19:00 – 22:30 | mardi: 12:00 – 14:30, 19:00 – 22:30 | mercredi: 12:00 – 14:30, 19:00 – 22:30 | jeudi: 12:00 – 14:30, 19:00 – 22:30 | vendredi: 12:00 – 14:30, 19:00 – 22:30 | samedi: 12:00 – 14:30, 19:00 – 22:30 | dimanche: 12:00 – 14:30, 19:00 – 22:30;Horaires continus / larges;oui;J'ai appelée pour commandée à emporter d'abord.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Restaurant indépendant avec fort volume d'appels (commandes à emporter, réservations) et problèmes de service client aigus (accueil agressif, communication défaillante) ; Qalm AI standardiserait la prise d'appels 24/7 et améliorerait la qualification des commandes pour réduire les erreurs et réclamations. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (749) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
Aqualoft Fitness Club 77 Ferrières;22 Rue du Mans, 77164 Ferrières-en-Brie, France;Lagny-sur-Marne 77400;01 64 44 58 79;fixe;https://www.aqualoft-ferrieres.fr/;;;petite PME (probable);lundi: 09:00 – 22:00 | mardi: 09:00 – 22:00 | mercredi: 09:00 – 22:00 | jeudi: 09:00 – 22:00 | vendredi: 09:00 – 21:00 | samedi: 09:00 – 17:00 | dimanche: 09:00 – 13:00, 15:00 – 18:00;Horaires continus / larges;oui;la personne que j'ai eu par téléphone pour une première prise de renseignements ne m'a pas vraiment convaincu à positionner 74€ par mois à par me positionner le premier rdv;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Salle de sport indépendante avec fort trafic d'appels (réservations, tarification, renseignements) ; la gestion téléphonique actuelle crée des frictions commerciales (client non convaincu par la qualité de l'accueil téléphonique) et perte de prospects qualifiés. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Gros volume d'avis (382) → fort trafic d'appels | PME structurée (petite PME (probable)) → budget solvable";Loisirs/résa;restaurant, brasserie, salle de sport, golf, bowling, traiteur
NG NAIL BAR;39 Av. Jean Jaurès, 77177 Brou-sur-Chantereine, France;Lagny-sur-Marne 77400;09 81 12 31 04;fixe;http://www.ng-nailbar.com/;Marie Nguyen (hoang);officielle;petite PME (probable);lundi: 09:30 – 19:00 | mardi: 09:30 – 19:00 | mercredi: Fermé | jeudi: 09:00 – 19:00 | vendredi: 09:30 – 19:00 | samedi: 09:30 – 18:00 | dimanche: Fermé;Fermé dimanche;oui;J'avais rendez-vous à 9h personne pour me recevoir.;87;🔥 PRIORITÉ A — Très bon prospect Qalm;"🤖 IA: Institut de beauté indépendant avec forte demande de réservations et problèmes avérés de gestion des appels (client non reçu à l'heure) ; Qalm AI optimiserait la prise de rendez-vous 24/7 et éviterait les pertes de clients. | 🔥 Plaintes téléphoniques avérées (Saint-Graal) | Prise de RDV / Réservations (standard surchargé en rush/service) | Décideur identifié (Marie Nguyen (hoang)) | PME structurée (petite PME (probable)) → budget solvable | Créneaux critiques (Fermé dimanche)";Beauté;institut de beauté, spa, massage
